step,caption
1,"Two parallel sub-models, one for hypertension and one for diabetes, share the same structure. Households move between being eligible but not enrolled in CBHI, enrolled, or fee-waivered, while people at risk can develop an NCD and untreated patients can start or stop treatment."
2,Health facilities earn revenue from user fees paid by uninsured patients and from reimbursement paid for insured patients. Expenditures draw that revenue back down.
3,"CBHI premiums from enrolled households build the CBHI fund. How much of it reaches facilities depends on the share of claims approved and on how long payment takes, both decision levers."
4,"Insurance coverage raises screening, which finds undetected cases and generates visits. Whether those cases start and stay on treatment depends on NCD care availability, set by how much provider time is free relative to total demand."
5,"Essential medicines availability completes the picture, funded by public drug funds and by facility revenue. Together with provider capacity, it determines whether treatment can be started and sustained."
