DATA Amhara total deaths 30 yo plus
2010	2607
2011	3739
2012	4338
2013	4836
2014	5745
2015	6188
2016	6811
DATA total revolving drug funds
2005	1.43e+08
2006	1.4418e+08
2007	1.5e+08
2008	1.74e+08
2009	1.5e+08
2010	1.511e+08
2011	1.83299e+08
2012	1.87e+08
2013	1.8964e+08
2014	2.0933e+08
2015	2.616e+08
2016	3.285e+08
2017	4.615e+08
2018	5.23243e+08
2019	5.85938e+08
2020	6.38973e+08
2021	6.90781e+08
2022	7.46791e+08
2023	8.07341e+08
2024	8.72801e+08
2025	9.43569e+08
2026	1.02007e+09
2027	1.10278e+09
2028	1.1922e+09
DATA total utilized internal revenue
2007	2.36716e+08
2008	3.6368e+08
2009	5.45853e+08
2010	6.46819e+08
2011	8.27228e+08
2012	1.02879e+09
2013	1.35753e+09
2014	1.55283e+09
2015	2.5884e+09
2016	2.46344e+09
2017	3.73314e+09
